"gene_id","region","isoform_id","correlation_repif","correlation_raw","p_value_repif","p_value_raw","n","adj_p_value_repif","adj_p_value_raw","tissue"
"Abl1","gene_body","NM_001112703",-0.938984059135676,0.501396640784303,0.000542226524042135,0.205560974309536,8,0.0408997814989829,0.446996556366499,"ForeBrain"
"Abl1","gene_body","NM_009594",0.951771048043889,0.897547526662827,0.000270408497862022,0.00248613497347064,8,0.0335101138743959,0.0563507767602183,"ForeBrain"
"Ablim1","gene_body","NM_001290815",-0.931562759640012,-0.863151051968028,0.000760773001441217,0.00576753326515869,8,0.042516116174293,0.0779406761246337,"ForeBrain"
"Acly","gene_body","NM_001199296",0.928427093638535,0.872492410487045,0.000868113745496679,0.00469962792340462,8,0.0440262633818279,0.0720228706528438,"ForeBrain"
"Acly","gene_body","NM_134037",-0.928427093638534,0.67509853168685,0.00086811374549669,0.066206591616549,8,0.0440262633818279,0.241796027244919,"ForeBrain"
"Adcyap1r1","gene_body","NM_001025372",0.976291818535983,-0.769813946941281,3.27250474401246e-05,0.0254696997778073,8,0.0187017672181655,0.150931302695766,"ForeBrain"
"Adcyap1r1","gene_body","NM_007407",-0.976291818535983,-0.962402178791247,3.27250474401246e-05,0.000129151786487188,8,0.0187017672181655,0.0383675972508641,"ForeBrain"
"Adk","gene_body","NM_134079",0.621417391881235,0.951497223396786,0.100050756940287,0.000274983060425282,8,0.33220401051217,0.0383675972508641,"ForeBrain"
"Adora1","gene_body","NM_001008533",-0.520924109476452,-0.954179979044112,0.185581216942716,0.000232306019529128,8,0.451820710439848,0.0383675972508641,"ForeBrain"
"Adora1","gene_body","NM_001039510",-0.302163579575096,-0.93453243062209,0.466984188519988,0.000667493013341891,8,0.707531819093401,0.0496123881882797,"ForeBrain"
"Agbl4","gene_body","NM_001284190",-0.924273197447387,-0.889264959735311,0.00102492196855881,0.00311896537710487,8,0.0447049297668131,0.0609447179991043,"ForeBrain"
"Aimp2","gene_body","NM_001172146",0.950773468510113,0.855459480109377,0.000287318776928651,0.00675460676954735,8,0.0335101138743959,0.0824089453360537,"ForeBrain"
"Aimp2","gene_body","NM_146165",-0.950773468510113,-0.762662090452629,0.000287318776928651,0.0277557344616069,8,0.0335101138743959,0.157910408681358,"ForeBrain"
"Akap2","gene_body","NM_001035532",0.926001408051335,0.902379402732858,0.000957613669950909,0.00215880051742562,8,0.0440262633818279,0.0538696036092485,"ForeBrain"
